gsn,atc,atc_manually_checked,ndc,ndc_match
054592,B01AC11,False,10148010200,atc
054608,D02AC,True,40565012181,atc
054611,N06AX12,True,51927335800,gsn
054612,V08CA09,False,?,none
054628,G03CA03,False,17139061740,gsn
054655,B03BA01,False,12593004790,gsn
054660,L01BC07,False,13925052301,gsn
054678,N06BA04,False,31722092801,gsn
054683,A11AA01,True,51674500106,gsn
054686,R03AA01,True,487278401,gsn
054713,B03BA01,False,13349001029,gsn
054716,N02CA04,True,?,none
054736,N04BD01,False,187045301,gsn
057439,A10AE05,False,54569630100,gsn
057688,R01AX,True,225052848,gsn
057690,C03AA03,False,13668016130,gsn
057712,N02AX02,True,10135051901,atc
057719,A10BX01,True,40986001901,gsn
057726,N02BE01,False,10702019401,gsn
057761,A07BA51,True,?,none
057764,A07BA51,True,?,none
057799,N03AX16,False,12280027990,gsn
057800,N03AX16,False,12280026490,gsn
057801,N03AX16,False,10544041260,gsn
057802,N03AX16,False,12280026190,gsn
057804,N03AX16,False,16590050730,gsn
057815,A16AX,True,10939052844,gsn
057824,J01MA02,False,21695091440,gsn
057825,J01MA02,False,21695042201,gsn
057854,H05BX03,False,58468012001,gsn
057859,C10AX09,False,12280038630,gsn
057863,C10AX09,False,12280038530,gsn
057864,C10AX09,False,16714078101,gsn
057865,C10AX09,False,12280018130,gsn
057874,G03BA03,False,45802011602,gsn
057883,J05AF09,False,35356007003,gsn
057891,N06AX21,False,12280017060,gsn
057892,N06AX21,False,12280016315,gsn
057896,J05AF06,False,35356010906,gsn
057921,A07FA01,True,54629001156,atc
057959,A01AB03,False,17856021003,gsn
057982,G04BD08,False,27241003703,gsn
057983,G04BD08,False,27241003803,gsn
057987,N04BA01,True,18860034101,gsn
057988,N04BA01,True,18860034201,gsn
057989,N04BA02,True,18860034301,gsn
058012,B05XA14,False,?,none
058018,A02AC01,False,10939023411,gsn
058044,G03DA04,False,65628006201,gsn
058057,M02AB01,False,10939008744,gsn
058091,A07EC02,False,54092019112,gsn
058106,L01BB05,True,24201023701,atc
058112,A07XA03,True,10939018733,gsn
058193,G03AC03,False,16714080901,gsn
058206,C05AX04,True,50428691953,gsn
058214,L04AB01,False,54868544400,gsn
058224,V09AB03,True,?,none
058238,N06DA04,False,10147089103,gsn
058239,N06DA04,False,10147089203,gsn
058240,N06DA04,False,10147089303,gsn
058279,N01BX01,True,386000404,gsn
058288,S01KA02,True,11917016843,gsn
058310,J01MA12,False,10147094106,gsn
058321,A16AX01,True,30768048315,gsn
058323,A01AB,True,65628005001,gsn
058339,C10AB05,False,0,gsn
058340,C10AB05,False,0,gsn
058354,B01AX05,False,35356007902,gsn
058355,B01AX05,False,35356008002,gsn
058374,L01EB02,False,42292005301,gsn
058375,L01EB02,False,50242006301,gsn
058376,L01EB02,False,42292005101,gsn
058377,A06AC06,True,10939037033,atc
058384,L04AA23,False,59075073015,gsn
058390,V03AE03,False,54092024901,gsn
058392,B02BD01,False,64193022204,gsn
058393,B02BD03,True,?,none
058435,A12AA04,True,0,gsn
058473,C05A,True,30014010001,gsn
058482,N05CF04,False,12280017930,gsn
058483,N05CF04,False,12280028715,gsn
058484,N05CF04,False,12280018030,gsn
058486,C10AX06,True,16714066001,gsn
058487,N03AF01,False,29033002012,gsn
058488,N03AF01,False,29033000412,gsn
058489,N03AF01,False,29033001912,gsn
058491,C05BB04,True,?,none
058551,H01BB02,False,10019029102,atc
058554,H01BB02,False,10019029102,atc
058571,L01BB06,False,?,none
058576,G04BD10,False,10370017009,gsn
058577,G04BD10,False,10370017109,gsn
058584,N02BG08,False,?,none
058589,A09AA01,False,54868347500,gsn
058592,B03XA01,True,55513028301,gsn
058594,N05AX12,False,54838057059,gsn
058597,B06AA03,False,?,none
058620,J01GB01,False,24208035805,gsn
058624,L01CD01,False,68817013450,gsn
058637,G03DA04,False,65628006101,gsn
058646,A07FA01,True,11917013345,gsn
058671,R01AD13,False,54868598900,gsn
058672,R01AD13,False,54868599000,gsn
058713,G04BE03,True,13668018630,atc
058728,A11CA01,True,10939031644,gsn
058729,N06AX01,False,47469000882,gsn
058755,A07FA01,True,31604001691,gsn
058764,J07AH,True,?,none
058776,L03AB07,True,44087004403,atc
058801,A11A,True,10939037844,gsn
058832,A03BA03,False,24486060490,gsn
058846,A11CA01,False,61703041807,gsn
058872,J02AX05,False,63323072801,gsn
058873,A10BX05,False,35356030801,gsn
058890,R03AC02,True,12280040915,gsn
058915,M05BA,False,12280041203,gsn
058916,S01BC11,False,24208009901,gsn
058921,C05AD03,True,49452521001,atc
058933,J05AF10,False,3161412,gsn
058934,J05AF10,False,10135061530,gsn
058935,J05AF10,False,10135061630,gsn
058943,A10BX01,True,67004910,gsn
058947,A11CC05,False,54868548000,gsn
058950,C05AA,False,13925050704,gsn
058952,A10AC01,True,59060023174,gsn
058957,J05AF09,False,61958060201,gsn
058969,L04AA34,False,?,none
058979,A11CC05,False,11845016238,gsn
058989,C01EB09,True,10939088844,gsn
059029,A12CC08,True,536668001,gsn
059062,C10AX06,True,179842118,gsn
059072,A10BJ01,False,54868538400,gsn
059073,A10BJ01,False,54868538401,gsn
059074,C07AA06,False,24208000401,gsn
059079,J07AF,False,54569638600,gsn
059080,J07AF,True,49281040010,atc
059081,R01AX,False,12280037213,gsn
059102,N01AH01,False,16590073205,gsn
059106,C10AB05,False,54868578400,gsn
059107,A06AA01,False,10119002228,gsn
059121,N04BD02,False,16714077101,gsn
059162,L01XA03,False,16714072801,atc
059163,L01XA03,False,16714072801,gsn
059178,A02AC01,False,10006070038,gsn
059181,H05BX02,False,10888500102,gsn
059182,H05BX02,False,10888500202,gsn
059190,N06BA11,False,35356015830,gsn
059201,C01DA02,False,42747023530,gsn
059205,N07BC01,False,?,none
059211,G04BE03,False,13668018505,gsn
059214,A09AA02,True,32122401,atc
059216,A09AA02,True,49999095630,gsn
059245,J06BB16,False,?,none
059246,J06BB16,False,?,none
059247,L01EG02,False,78041720,gsn
059248,L01EG02,False,54047121,gsn
059249,L01EG02,False,54047221,gsn
059270,J01AA12,False,16729036403,gsn
059306,J05AE09,False,54569571900,gsn
059313,V04CK01,False,?,none
059325,A01AB17,False,51672416403,gsn
059326,D07AC13,False,35356009914,gsn
059327,D07AC13,False,54868554701,gsn
059328,D07AC13,False,54868554700,gsn
059351,A11HA03,False,54629052525,gsn
059360,C10AX06,True,11845016082,atc
059404,M05BA08,False,23155018631,gsn
059424,J01DD04,False,10019009801,atc
059425,J01DD04,False,10019009801,atc
059430,A07DA03,False,10939047244,gsn
059509,N05CH02,False,12280028530,gsn
059586,A10AE05,False,54569630000,gsn
059589,N02AE01,False,35356060704,gsn
059590,N02AE01,False,35356060504,gsn
059591,N02AE01,False,35356060604,gsn
059607,A06AX01,True,?,none
059668,D11AX21,False,54569633200,gsn
059670,S01BC10,False,54569632300,gsn
059675,M03AC01,False,?,none
059686,A10BG03,False,13668028133,gsn
059696,N05CF02,False,10370011710,gsn
059697,N05CF02,False,10370011610,gsn
059703,A11CA01,True,11845013665,atc
059718,D06AX05,False,17478023835,gsn
059731,A11AB,True,50428277276,gsn
059732,A01AD05,False,16500004011,gsn
059735,J06BA02,True,49669160401,atc
059747,J01DD02,False,10019069304,atc
059760,A01AB,True,84898000001,gsn
059782,N05BA01,False,54868549000,gsn
059790,N02AB02,True,10019015444,atc
059792,N02AB02,True,10019015444,atc
059793,N02AB02,True,10019015444,atc
059794,N02AB02,True,10019015444,atc
059805,N02AB02,True,10019015444,atc
059940,A07DA52,True,?,none
059944,N02AB03,True,38779234503,gsn
059972,J05AE03,False,21695036212,gsn
